order_id,audit_date,week_number,country,state,city,address_type,pid,call_attempt,quality_of_validation,validation_status,defect_category,deepdive_attribute,gam_defect,grok_comment_defect,overall_audit,delivery_outcome,delivery_success,auditor,resolution_time_hrs
ORD10158,2026-03-16,12,US,CA,Philadelphia,Single-Residential,USC4911536247,Non-Controllable,GAM defect - Wrong updates,Fail,Multi-Residential,Incorrect SP,No GAM defect,No GROK defect,Fail,Returned,0,Priya M,10.1
ORD11915,2026-03-16,12,US,CA,Los Angeles,Single-Residential,USC4708406899,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD11580,2026-03-16,12,US,CA,Charlotte,Single-Residential,USC5072892124,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD12584,2026-03-16,12,US,FL,Los Angeles,Single-Commercial,USC4825214349,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD10780,2026-03-16,12,US,CA,Los Angeles,Single-Residential,USC5031328467,Yes,Successful Validation,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD12758,2026-03-16,12,US,NY,Calgary,Single-Residential,USC4974538004,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD14041,2026-03-16,12,US,CA,Calgary,Multi-Residential,USC5094923567,Yes,Successful Validation,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD11032,2026-03-16,12,US,AB,Vancouver,Single-Commercial,USC5093907093,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD13701,2026-03-16,12,US,CA,Vancouver,Single-Commercial,USC5292633291,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD14868,2026-03-16,12,US,PA,Columbus,Multi-Residential,USC5075969772,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD13016,2026-03-16,12,US,WA,Charlotte,Single-Residential,USC5063552111,No,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD13197,2026-03-16,12,Canada,TX,Chicago,Single-Residential,USC4884136717,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD12961,2026-03-16,12,Canada,NY,Atlanta,Single-Residential,USC5030716067,Yes,Successful Validation,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD13303,2026-03-16,12,US,CA,Calgary,Multi-Residential,USC4886769376,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD13311,2026-03-16,12,Canada,CA,Seattle,Single-Residential,USC5187953401,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD10237,2026-03-16,12,US,CA,New York,Single-Residential,USC5268094590,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD10121,2026-03-16,12,Canada,CA,Columbus,Single-Residential,USC4847581244,Yes,Correct Validation but incorrect GROK comment,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD11163,2026-03-16,12,US,PA,New York,Single-Residential,USC5301194998,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Ganesh B,0.0
ORD12825,2026-03-16,12,US,ON,Columbus,Multi-Residential,USC5033878982,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD11114,2026-03-16,12,US,ON,Columbus,Single-Residential,USC4755442095,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD11106,2026-03-16,12,Canada,NY,Edmonton,Mixed,USC5009886738,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD11090,2026-03-16,12,US,TX,Philadelphia,Multi-Residential,USC4720134697,Yes,Deep Dive Defect - Wrong validation,Fail,Multi-Commercial,Incorrect BH + AB,No GAM defect,No GROK defect,Fail,Failed,0,Riya Singh,1.4
ORD11804,2026-03-16,12,Canada,WA,Charlotte,Single-Residential,USC4797954052,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD11810,2026-03-16,12,US,CA,Chicago,Single-Residential,USC5381848313,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Ganesh B,0.0
ORD11038,2026-03-16,12,Canada,NC,Charlotte,Single-Residential,USC4811107073,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD12007,2026-03-16,12,US,ON,Edmonton,Single-Residential,USC5148917780,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD10875,2026-03-16,12,US,WA,Vancouver,Single-Commercial,USC5391231151,Yes,Deep Dive Defect leading to GAM Defect,Fail,Multi-Residential,Incorrect AB,No GAM defect,No GROK defect,Fail,Delivered,1,Riya Singh,8.0
ORD10093,2026-03-16,12,Canada,FL,Edmonton,Mixed,USC5395186555,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD14978,2026-03-16,12,US,ON,Montreal,Multi-Residential,USC4809289598,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD10601,2026-03-16,12,US,TX,Columbus,Single-Commercial,USC4898104783,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD12345,2026-03-16,12,US,NC,Calgary,Single-Residential,USC5193866202,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD14243,2026-03-16,12,US,ON,Seattle,Single-Residential,USC5039523584,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD10656,2026-03-16,12,US,FL,Philadelphia,Single-Residential,USC5035415732,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD10674,2026-03-16,12,Canada,OH,Houston,Single-Residential,USC4791116682,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD12458,2026-03-16,12,US,FL,Houston,Multi-Residential,USC4785626896,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD10431,2026-03-16,12,US,NY,Edmonton,Single-Residential,USC4762218090,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD14159,2026-03-16,12,Canada,NY,Toronto,Single-Residential,USC4749424788,Yes,GAM defect - Wrong updates,Fail,Incorrect BH,Incorrect AT,No GAM defect,Entire comment wrong - wrong PID identification,Fail,Delivered,1,Harini AB,0.6
ORD10189,2026-03-16,12,US,IL,Houston,Single-Commercial,USC4886244966,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD10399,2026-03-16,12,US,GA,Toronto,Single-Residential,USC4869328675,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD10396,2026-03-16,12,Canada,CA,Columbus,Single-Residential,USC4817728465,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD10394,2026-03-16,12,US,GA,Atlanta,Mixed,USC4700668533,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD12316,2026-03-16,12,US,NY,Charlotte,Single-Residential,USC5325246731,Non-Controllable,Successful Validation,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD10226,2026-03-16,12,US,TX,Seattle,Single-Commercial,USC4873048008,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD14145,2026-03-16,12,Canada,FL,Philadelphia,Single-Residential,USC5054167903,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD14140,2026-03-16,12,US,CA,Miami,Multi-Commercial,USC5107685543,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD14982,2026-03-16,12,US,ON,Chicago,Single-Residential,USC4956023989,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD14403,2026-03-16,12,US,ON,New York,Single-Commercial,USC5340572210,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD14424,2026-03-16,12,Canada,QC,Philadelphia,Mixed,USC4905474317,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD14763,2026-03-16,12,Canada,BC,Miami,Multi-Residential,USC4819578108,Yes,Successful Validation,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD10571,2026-03-16,12,US,WA,Atlanta,Single-Residential,USC4741361343,Non-Controllable,GAM defect - Wrong updates,Fail,Multi-Commercial,Incorrect BH,No GAM defect,Entire comment wrong - wrong PID identification,Fail,Delivered,1,Riya Singh,3.6
ORD10761,2026-03-16,12,Canada,PA,Seattle,Single-Residential,USC4724296287,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD13512,2026-03-17,12,US,TX,Montreal,Single-Residential,USC4833055665,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD11168,2026-03-17,12,US,ON,Toronto,Multi-Commercial,USC4998255071,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD13473,2026-03-17,12,US,BC,Montreal,Single-Commercial,USC4726313186,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD10328,2026-03-17,12,US,TX,Charlotte,Single-Residential,USC5138947869,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD11493,2026-03-17,12,US,IL,Columbus,Multi-Residential,USC5079095968,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD11560,2026-03-17,12,US,AB,Toronto,Multi-Commercial,USC4889762490,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD14651,2026-03-17,12,Canada,AB,Edmonton,Single-Residential,USC4943152038,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD13075,2026-03-17,12,Canada,OH,New York,Multi-Residential,USC4780788601,Yes,GAM defect - Wrong updates,Fail,Single-Commercial,Incorrect BH,No GAM defect,Entire comment wrong - wrong PID identification,Fail,Failed,0,Harini AB,9.5
ORD11223,2026-03-17,12,Canada,NY,Los Angeles,Multi-Residential,USC4853854253,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Returned,0,Riya Singh,0.0
ORD11162,2026-03-17,12,US,CA,Vancouver,Multi-Commercial,USC4996806057,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD14119,2026-03-17,12,US,CA,Philadelphia,Multi-Residential,USC5196079360,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD14444,2026-03-17,12,US,NY,New York,Multi-Commercial,USC5352823954,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD10789,2026-03-17,12,Canada,TX,Montreal,Single-Residential,USC4939567747,Yes,Deep Dive Defect - Wrong validation,Fail,Single-Commercial,Incorrect SP,Incorrect AB,No GROK defect,Fail,Delivered,1,Priya M,14.0
ORD14015,2026-03-17,12,US,OH,Vancouver,Single-Residential,USC4984329367,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD14781,2026-03-17,12,US,TX,Atlanta,Single-Commercial,USC4766475722,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD10181,2026-03-17,12,US,ON,Miami,Single-Commercial,USC4902452985,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD13984,2026-03-17,12,US,IL,Philadelphia,Single-Commercial,USC4834217827,No,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD10186,2026-03-17,12,US,PA,Charlotte,Multi-Commercial,USC5205195042,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD13907,2026-03-17,12,US,TX,Toronto,Multi-Residential,USC4756318945,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD10437,2026-03-17,12,US,NY,Los Angeles,Single-Residential,USC4727161190,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD10891,2026-03-17,12,US,FL,Vancouver,Multi-Residential,USC4734071639,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD10894,2026-03-17,12,Canada,WA,Seattle,Multi-Commercial,USC4950929714,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD10191,2026-03-17,12,US,CA,Charlotte,Single-Residential,USC4947046968,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD10995,2026-03-17,12,US,ON,New York,Multi-Residential,USC4750776611,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD14335,2026-03-17,12,US,WA,Houston,Mixed,USC5131528899,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD14391,2026-03-17,12,US,CA,Los Angeles,Single-Residential,USC4913025880,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD11059,2026-03-17,12,US,TX,Calgary,Single-Residential,USC5202274876,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD10461,2026-03-17,12,US,GA,Los Angeles,Multi-Commercial,USC4801432907,Non-Controllable,Deep Dive Defect leading to GAM Defect,Fail,Multi-Residential,Incorrect BH,No GAM defect,No GROK defect,Fail,Delivered,1,Ganesh B,3.0
ORD10187,2026-03-17,12,US,WA,Seattle,Single-Residential,USC5190523575,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD14383,2026-03-17,12,US,CA,Chicago,Single-Commercial,USC5208596766,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD10236,2026-03-17,12,US,NY,Vancouver,Multi-Residential,USC4950817360,No,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD10049,2026-03-17,12,US,AB,Calgary,Single-Residential,USC4737225906,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Ganesh B,0.0
ORD14957,2026-03-17,12,US,TX,Columbus,Single-Commercial,USC5148465012,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Ganesh B,0.0
ORD12087,2026-03-17,12,US,TX,Columbus,Single-Residential,USC4969625782,Yes,Deep Dive Defect - Wrong validation,Fail,Multi-Residential,Incorrect BH + AB,No GAM defect,No GROK defect,Fail,Failed,0,Riya Singh,2.4
ORD12058,2026-03-17,12,US,BC,Philadelphia,Single-Residential,USC4923941253,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Returned,0,Priya M,0.0
ORD12102,2026-03-17,12,Canada,ON,Montreal,Single-Commercial,USC5039799967,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Returned,0,Priya M,0.0
ORD11828,2026-03-17,12,US,AB,Charlotte,Multi-Residential,USC4703648769,Yes,Successful Validation,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD12903,2026-03-17,12,US,CA,Calgary,Single-Commercial,USC5146539561,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD10062,2026-03-17,12,US,TX,Charlotte,Single-Residential,USC5047858415,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD12104,2026-03-17,12,US,WA,Atlanta,Single-Residential,USC4808466876,Yes,Deep Dive Defect leading to GAM Defect,Fail,Multi-Residential,Incorrect AB,No GAM defect,No GROK defect,Fail,Delivered,1,Kiran Nukala,10.7
ORD12431,2026-03-17,12,US,BC,Montreal,Single-Residential,USC4972075513,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD11985,2026-03-17,12,US,ON,Atlanta,Single-Residential,USC5336905512,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD11780,2026-03-17,12,Canada,BC,Toronto,Single-Residential,USC5394094960,Non-Controllable,Deep Dive Defect - Wrong validation,Fail,Mixed,Incorrect BH,No GAM defect,Entire comment wrong - wrong PID identification,Fail,Returned,0,Harini AB,1.8
ORD13070,2026-03-17,12,US,GA,Columbus,Single-Residential,USC5188078140,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD12152,2026-03-17,12,US,TX,Edmonton,Multi-Residential,USC5101803018,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD12387,2026-03-17,12,Canada,TX,Philadelphia,Single-Residential,USC4806865681,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD10016,2026-03-17,12,US,TX,Columbus,Single-Residential,USC4940422003,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD10013,2026-03-17,12,Canada,WA,Chicago,Multi-Commercial,USC4753685621,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Priya M,0.0
ORD12670,2026-03-17,12,US,OH,Charlotte,Single-Residential,USC4865692551,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD12277,2026-03-17,12,US,BC,Philadelphia,Single-Commercial,USC5148764675,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD13051,2026-03-17,12,Canada,CA,Columbus,Single-Residential,USC5013467147,Yes,GAM defect - Wrong updates,Fail,Multi-Residential,Incorrect SP,No GAM defect,No GROK defect,Fail,Delivered,1,Riya Singh,2.9
ORD12317,2026-03-17,12,Canada,BC,Montreal,Mixed,USC5164339584,Yes,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Returned,0,Harini AB,0.0
ORD11659,2026-03-17,12,US,GA,Philadelphia,Mixed,USC4899711076,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Ganesh B,0.0
ORD12234,2026-03-17,12,US,BC,Charlotte,Mixed,USC4775481560,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
ORD12243,2026-03-17,12,Canada,TX,Calgary,Single-Residential,USC5230847204,Yes,Successful Validation,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD11626,2026-03-17,12,US,PA,Toronto,Single-Residential,USC5157849001,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Riya Singh,0.0
ORD12737,2026-03-17,12,US,FL,Calgary,Single-Residential,USC5335823776,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Kiran Nukala,0.0
ORD12191,2026-03-17,12,US,NC,Charlotte,Single-Residential,USC4924144891,Non-Controllable,Correct Validation but not SV,Pass,No defect observed,No defect - no impact on GAM,No GAM defect,No GROK defect,Pass,Delivered,1,Harini AB,0.0
